"Type";"Refrence";"Fichier";"Bibentry";"Synthese"
"ml_neuralnetworks";"alvarez2018senn";1;1;0
"ml_neuralnetworks";"beck2018nnt";1;1;0
"ml_neuralnetworks";"bergtold2015nne";1;1;0
"ml_neuralnetworks";"doshivelez2017iml";1;1;0
"ml_neuralnetworks";"farell2018deep_v3";1;0;0
"ml_neuralnetworks";"farrell2018deep";1;1;0
"ml_neuralnetworks";"gao2016matrix";1;1;0
"ml_neuralnetworks";"ishhorowicz2019dnn";1;1;0
"ml_neuralnetworks";"pulugurta2013aimc";1;1;0
"ml_neuralnetworks";"sundararajan2017aadn";1;1;0
"ml_neuralnetworks";"wang2018deep";1;1;0
"ml_neuralnetworks";"wang2018interp";1;1;0
"ml_neuralnetworks";"wong2019resl";1;1;0
"ml_neuralnetworks";"zhang2018ann";1;1;0
